path,score,class,static_incoming,config_ref_count,evidence
backend/app/services/llm_services/rag_service.py,95,ACTIVE,5,0,runtime_root | import_incoming=5
backend/app/services/rule_engine/__init__.py,70,SHARED/INFRA,0,0,runtime_root
backend/app/services/rule_engine/__pycache__/__init__.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/app/services/rule_engine/__pycache__/ckd_rules.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/app/services/rule_engine/ckd_rules.py,90,ACTIVE,4,0,runtime_root | import_incoming=4
backend/app/services/safety_guardrail.py,85,ACTIVE,3,0,runtime_root | import_incoming=3
backend/app/utils/__init__.py,70,SHARED/INFRA,0,0,runtime_root
backend/app/utils/__pycache__/__init__.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/app/utils/__pycache__/llm_errors.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/app/utils/__pycache__/response.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/app/utils/__pycache__/security.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/app/utils/llm_errors.py,80,ACTIVE,2,0,runtime_root | import_incoming=2
backend/app/utils/response.py,95,ACTIVE,16,0,runtime_root | import_incoming=16
backend/app/utils/security.py,95,ACTIVE,7,0,runtime_root | import_incoming=7
backend/docker-compose.yml,20,ORPHAN_CANDIDATE,0,0,entrypoint
backend/docs/API_CONTRACT.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/docs/ARCHITECTURE.md,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/docs/openapi.json,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/nginx.conf,5,ORPHAN_CANDIDATE,0,1,config_refs=backend/docker-compose.yml
backend/pyproject.toml,25,ORPHAN_CANDIDATE,0,1,entrypoint | config_refs=.github/workflows/ci.yml
backend/requirements.lock,5,ORPHAN_CANDIDATE,0,1,config_refs=.github/workflows/ci.yml
backend/requirements.txt,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/seeds/__init__.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/seeds/__pycache__/__init__.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/seeds/__pycache__/seed_data.cpython-312.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/seeds/__pycache__/seed_data.cpython-314.pyc,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/seeds/seed_data.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/seeds/seed_if_empty.py,0,ORPHAN_CANDIDATE,0,0,no_direct_evidence
backend/tests/__init__.py,70,SHARED/INFRA,0,0,runtime_root
backend/tests/__pycache__/__init__.cpython-312.pyc,70,SHARED/INFRA,0,0,runtime_root
backend/tests/__pycache__/conftest.cpython-312-pytest-8.3.4.pyc,70,SHARED/INFRA,0,0,runtime_root
